FIPS,State,County,State_Post_Code,County_State,Location,Pop_2013,R_YPLL,SRH_Fair_Poor,Days_Phy_Unh,Days_Men_Unh,P_LBW,P_Smoker,P_Obese,RFEI,P_Inactive,P_Access,P_Exc_Drin,P_Alc_Imp,R_Chlamydia,Teen Birth Rate,% Uninsured,PCP Ratio,MHP Ratio,Dentist Ratio,R_ACSC,P_HbA1c,P_Mammo,R_HS_Grad,P_College,P_Unemployed,P_Chld_Pov,P_No_Soc_Sup,P_Sing_Par,R_Viol_Crm,R_Inj_Dth,A_PM25,P_water_viol,P_Sev_Hous,P_Drv_Aln,P_Lng_Com,VotTot12,VotDem12,VotRep12,ShareDem12,ShareRep12,VotTot88,VotRep88,VotDem88,ShareRep88,ShareDem88,ShareRepChange8812,Deaths_9910,AAMR_9910,AAMR_9910_se,Dealth_6878,AAMR_6878,AAMR_6878se
1001,Alabama,Autauga,AL,Autauga AL,"Autauga County, AL",55246,8376,23,5.1,3.6,9.3,22,31,7,29,59,17,25,447,39,14,2631:01:00,55969:1,3731:01:00,75,87,66.6,80,54.7,6.5,19,24,30,303,70,12.9,0,12,88,42,23909,6354,17366,26.6,72.6,"11,661","7,828","3,667",67.13,31.45,5.47,4863,987.9,14.5,2408,1232.3,27.1
1003,Alabama,Baldwin,AL,Baldwin AL,"Baldwin County, AL",195540,7770,13,3.3,3.8,8.9,21,27,8,28,58,18,32,302,46,17,1333:01:00,2193:01:00,2298:01:00,54,80,67.1,74,61.8,6.8,21,19,28,213,76,13.1,4,13,83,35,84988,18329,65772,21.6,77.4,"35,598","25,933","9,271",72.85,26.04,4.55,18648,840.3,6.2,6501,1105.5,14.4
1005,Alabama,Barbour,AL,Barbour AL,"Barbour County, AL",27076,9458,23,4.8,4.3,12.3,25,37,5,35,11,14,48,874,74,19,2259:01:00,30596:1,3059:01:00,101,88,64.5,61,41.4,11.2,47,18,56,154,53,12.6,32,17,83,32,11459,5873,5539,51.3,48.3,"8,900","4,958","3,836",55.71,43.1,-7.41,3499,977.2,16.6,3056,1333.1,25.1
1007,Alabama,Bibb,AL,Bibb AL,"Bibb County, AL",22512,11544,18,4.7,5.1,12.7,26,34,8,37,18,11,28,466,49,16,4553:01:00,,6207:01:00,90,83,62,73,44.2,7.6,27,29,39,254,98,12.9,0,10,82,50,8391,2200,6131,26.2,73.1,"5,146","2,885","2,244",56.06,43.61,17.04,2636,1037.9,20.4,1792,1324.8,32.7
1009,Alabama,Blount,AL,Blount AL,"Blount County, AL",57872,8506,24,5.9,3.9,7.7,21,30,9,35,15,6,23,175,48,18,5243:01:00,29157:1,5301:01:00,91,84,62.8,81,46.3,6.2,23,14,25,164,89,12.7,3,13,80,60,23980,2961,20741,12.3,86.5,"13,548","8,754","4,485",64.61,33.1,21.89,6245,943.8,12.1,2943,1127.2,22
1011,Alabama,Bullock,AL,Bullock AL,"Bullock County, AL",10639,9884,23,4.2,,13.7,38,42,4,33,29,,40,1404,85,16,3514:01:00,12166:1,6083:01:00,91,81,48.5,73,36,13.4,43,,65,334,103,12.8,15,14,84,45,5318,4058,1250,76.3,23.5,"4,584","1,421","3,122",31,68.11,-7.5,1597,1058.9,26.8,1637,1347,34.8
1013,Alabama,Butler,AL,Butler AL,"Butler County, AL",20265,11006,20,3.9,3.5,10.4,31,38,6,37,47,11,15,639,61,16,2950:01:00,5160:01:00,3440:01:00,128,78,58.1,72,46.2,10.9,42,28,49,453,71,12.8,25,17,89,32,9483,4367,5081,46.1,53.6,"7,460","3,923","3,465",52.59,46.45,1.01,3361,1050.5,18.4,2969,1264.4,24
1015,Alabama,Calhoun,AL,Calhoun AL,"Calhoun County, AL",116736,11097,23,5.2,5.1,9,24,33,7,33,41,12,20,663,51,17,1491:01:00,1580:01:00,2184:01:00,92,80,55.2,79,50.8,7.6,31,22,39,553,78,12.9,0,14,84,27,46240,15500,30272,33.5,65.5,"33,970","19,806","12,451",58.3,36.65,7.2,15863,1088,8.7,10378,1283.7,13.5
1017,Alabama,Chambers,AL,Chambers AL,"Chambers County, AL",34162,10368,39,5,4.3,11.7,24,35,6,39,34,,25,766,63,18,2610:01:00,,4315:01:00,89,84,65.8,80,47.1,9.3,35,33,52,576,78,13,0,17,84,33,14562,6853,7596,47.1,52.2,"12,956","7,694","5,103",59.39,39.39,-7.19,5614,1058.3,14.3,4615,1261.9,19.5
1019,Alabama,Cherokee,AL,Cherokee AL,"Cherokee County, AL",26203,9409,24,6.1,5.2,8.9,24,31,8,34,15,15,30,269,52,17,3722:01:00,6577:01:00,6577:01:00,100,88,59.6,72,53.5,7.1,30,23,26,336,81,12.9,0,10,81,42,9761,2126,7494,21.8,76.8,"6,101","2,868","3,176",47.01,52.06,29.79,3439,980,17,1946,1258.3,29.7
1021,Alabama,Chilton,AL,Chilton AL,"Chilton County, AL",43951,10330,21,4.6,4.9,9.8,20,38,8,32,43,9,25,321,58,20,5486:01:00,7368:01:00,4912:01:00,80,87,61.1,73,43.3,6.5,30,23,30,692,99,12.9,0,16,81,48,17434,3391,13910,19.5,79.8,"12,623","8,761","3,820",69.41,30.26,10.39,5219,1040.6,14.5,3542,1360.5,24
1023,Alabama,Choctaw,AL,Choctaw AL,"Choctaw County, AL",13426,11985,32,5.6,4.6,11.6,20,39,6,38,30,,35,463,46,18,2721:01:00,,2293:01:00,48,84,55.4,78,43.5,9,30,27,46,112,81,12.8,0,11,82,42,7965,3785,4150,47.5,52.1,"7,131","3,629","3,491",50.89,48.96,1.21,2029,941.1,21.1,1937,1258.2,29.7
1025,Alabama,Clarke,AL,Clarke AL,"Clarke County, AL",25207,9309,22,4.4,3,12.9,14,36,5,37,13,9,27,821,42,18,2141:01:00,5088:01:00,3634:01:00,85,79,62.7,78,45.8,12.1,32,28,48,491,72,13,10,16,86,31,13827,6317,7463,45.7,54,"10,021","5,708","4,217",56.96,42.08,-2.96,3436,963.8,16.5,2984,1182.8,22.3
1027,Alabama,Clay,AL,Clay AL,"Clay County, AL",13486,9915,29,6,5.3,10.7,26,35,7,39,21,,31,455,52,19,2772:01:00,13671:1,6835:01:00,107,86,60.8,83,40.9,9.3,30,27,35,287,66,12.9,8,14,80,40,6640,1770,4802,26.7,72.3,"5,239","3,496","1,602",66.73,30.58,5.57,2154,994.6,21.7,1739,1221.6,30
1029,Alabama,Cleburne,AL,Cleburne AL,"Cleburne County, AL",14994,10738,20,5.9,5.2,8.5,19,31,8,35,28,,15,270,54,17,4945:01:00,3002:01:00,15010:1,96,86,48.8,92,47.1,6.9,26,25,30,284,85,13,1,14,79,48,6302,971,5269,15.4,83.6,"4,491","3,071","1,383",68.38,30.79,15.22,1960,1038.3,23.7,1226,1209.5,36.2
1031,Alabama,Coffee,AL,Coffee AL,"Coffee County, AL",50938,8403,18,3.5,3.6,8.9,18,30,7,31,19,10,30,572,49,17,2296:01:00,2880:01:00,3240:01:00,94,86,67,85,59.4,6.2,23,23,36,344,68,12.6,0,12,84,25,19715,4899,14638,24.8,74.2,"13,357","8,890","4,319",66.56,32.34,7.64,5591,923,12.4,3467,1191.2,21.5
1033,Alabama,Colbert,AL,Colbert AL,"Colbert County, AL",54520,10591,26,4.4,4.8,10.2,30,32,7,31,52,7,14,598,53,15,1817:01:00,6865:01:00,2615:01:00,78,89,64,76,56.4,7.6,25,21,33,365,77,12.7,3,13,88,28,23374,9160,13931,39.2,59.6,"18,409","7,775","10,397",42.23,56.48,17.37,7605,960.6,11.1,5316,1236.4,17.8
